submission,wallclock,steps,rank_wallclock,rank_steps,rank_shift
Schedule-Free AdamW v2 (PyTorch),0.5679012345679016,0.5252525252525259,1,2,-1
AdEMAMix (PyTorch),0.5190796857463527,0.5258136924803595,2,1,1
Schedule-Free AdamW (PyTorch),0.466891133557801,0.4461279461279469,3,4,-1
NAdamW (Baseline AlgoPerf v0.5) (JAX),0.4506172839506181,0.45454545454545503,4,3,1
Schedule-Free AdamW v2 (JAX),0.4405162738496074,0.41245791245791213,5,6,-1
Muon (PyTorch),0.4231200897867556,0.4326599326599318,6,5,1
Schedule-Free AdamW (JAX),0.4107744107744111,0.4090909090909087,7,7,0
NAdamW (JAX),0.384399551066217,0.40404040404040326,8,8,0
Cautious NAdamW (JAX),0.31425364758698043,0.31986531986531946,9,9,0
Muon (JAX),0.2845117845117842,0.31986531986531946,10,9,1
Lion (PyTorch),0.27833894500561146,0.2732884399551064,11,11,0
NAdamW (Tuned for ResNet) (JAX),0.18574635241301896,0.19528619528619492,12,12,0
Single Worker DiLoCo (JAX),0.1369248035914701,0.18630751964085265,13,13,0
Single Worker DiLoCo v2 (JAX),0.1301907968574634,0.1829405162738493,14,14,0
